thirdParty_id,company_id,credit,credit_term,credit_value,interest_rate,credit_balance,comercial_state,favor_balance
5,1,t,1,500000,0.2,0.000000,active,0.000000
50,1,t,7,1e+06,2,0.000000,active,0.000000
51,1,f,0,0,0,0.000000,active,0.000000
52,1,f,0,0,0,0.000000,active,0.000000
53,1,f,0,0,0,0.000000,active,0.000000
54,1,t,30,2e+06,0,0.000000,active,0.000000
55,1,f,0,0,0,0.000000,active,0.000000
10,1,f,0,0,0,0.000000,active,0.000000
34,1,f,0,0,0,0.000000,active,0.000000
23,1,f,0,0,0,0.000000,active,0.000000
32,1,f,0,0,0,0.000000,active,0.000000
47,1,f,0,0,0,0.000000,active,0.000000
28,1,f,0,0,0,0.000000,active,0.000000
15,1,f,0,0,0,0.000000,active,0.000000
38,1,f,0,0,0,0.000000,active,0.000000
14,1,f,0,0,0,0.000000,active,0.000000
6,1,f,0,0,0,0.000000,active,0.000000
7,1,f,0,0,0,0.000000,active,0.000000
8,1,f,0,0,0,0.000000,active,0.000000
9,1,f,0,0,0,0.000000,active,0.000000
11,1,f,0,0,0,0.000000,active,0.000000
12,1,f,0,0,0,0.000000,active,0.000000
13,1,f,0,0,0,0.000000,active,0.000000
16,1,f,0,0,0,0.000000,active,0.000000
18,1,f,0,0,0,0.000000,active,0.000000
19,1,f,0,0,0,0.000000,active,0.000000
20,1,f,0,0,0,0.000000,active,0.000000
21,1,f,0,0,0,0.000000,active,0.000000
22,1,f,0,0,0,0.000000,active,0.000000
24,1,f,0,0,0,0.000000,active,0.000000
25,1,f,0,0,0,0.000000,active,0.000000
26,1,f,0,0,0,0.000000,active,0.000000
27,1,f,0,0,0,0.000000,active,0.000000
29,1,f,0,0,0,0.000000,active,0.000000
30,1,f,0,0,0,0.000000,active,0.000000
31,1,f,0,0,0,0.000000,active,0.000000
33,1,f,0,0,0,0.000000,active,0.000000
35,1,f,0,0,0,0.000000,active,0.000000
36,1,f,0,0,0,0.000000,active,0.000000
37,1,f,0,0,0,0.000000,active,0.000000
44,1,f,0,0,0,0.000000,active,0.000000
45,1,f,0,0,0,0.000000,active,0.000000
46,1,f,0,0,0,0.000000,active,0.000000
59,1,f,0,0,0,0.000000,active,0.000000
60,1,f,0,0,0,0.000000,active,0.000000
91,1,f,0,0,0,0.000000,active,0.000000
101,1,f,0,0,0,0.000000,active,0.000000
103,1,f,0,0,0,0.000000,active,0.000000
64,1,t,15,500000,0,0.000000,active,0.000000
105,1,t,15,500000,0,0.000000,active,0.000000
74,1,t,15,500000,0,0.000000,active,0.000000
56,1,f,0,0,0,0.000000,active,0.000000
57,1,f,0,0,0,0.000000,active,0.000000
58,1,f,0,0,0,0.000000,active,0.000000
